ticker,company_name,sector,theme_id,theme_label,first_year,last_year,first_rate_per_10k_words,last_rate_per_10k_words,change_per_10k_words,observed_years
HAL,Halliburton,Energy,social_impact_and_community,Social impact and community,2016,2024,0.263525,1.323301,1.059776,9
HD,Home Depot,Consumer Discretionary,collaboration_and_partnership,Collaboration and partnership,2016,2024,1.034474,2.563164,1.52869,9
HD,Home Depot,Consumer Discretionary,customers_and_service,Customers and service,2016,2024,14.999871,23.068473,8.068602,9
HD,Home Depot,Consumer Discretionary,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,31.810071,32.039546,0.229475,9
HD,Home Depot,Consumer Discretionary,employees_and_workplace,Employees and workplace,2016,2024,10.08612,11.900403,1.814283,9
HD,Home Depot,Consumer Discretionary,environment_and_sustainability,Environment and sustainability,2016,2024,1.551711,12.449652,10.897941,9
HD,Home Depot,Consumer Discretionary,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,9.827501,6.041743,-3.785759,9
HD,Home Depot,Consumer Discretionary,innovation_and_excellence,Innovation and excellence,2016,2024,0.775855,1.281582,0.505726,9
HD,Home Depot,Consumer Discretionary,integrity_and_ethics,Integrity and ethics,2016,2024,2.844803,8.971073,6.12627,9
HD,Home Depot,Consumer Discretionary,leadership_and_accountability,Leadership and accountability,2016,2024,21.206714,24.899304,3.692591,9
HD,Home Depot,Consumer Discretionary,purpose_and_identity,Purpose and identity,2016,2024,0.775855,3.478579,2.702724,9
HD,Home Depot,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2016,2024,48.103034,51.62944,3.526406,9
HD,Home Depot,Consumer Discretionary,social_impact_and_community,Social impact and community,2016,2024,1.034474,4.027829,2.993355,9
IBM,IBM,Technology,collaboration_and_partnership,Collaboration and partnership,2016,2024,3.484852,3.006502,-0.47835,9
